20050501	1	MEI	2005
20050502	2	MEI	2005
20050503	3	MEI	2005
20050504	4	MEI	2005
20050505	5	MEI	2005
20050506	6	MEI	2005
20050507	7	MEI	2005
20050508	8	MEI	2005
20050509	9	MEI	2005
20050510	10	MEI	2005
20050511	11	MEI	2005
20050512	12	MEI	2005
20050513	13	MEI	2005
20050514	14	MEI	2005
20050515	15	MEI	2005
20050516	16	MEI	2005
20050517	17	MEI	2005
20050518	18	MEI	2005
20050519	19	MEI	2005
20050520	20	MEI	2005
20050521	21	MEI	2005
20050522	22	MEI	2005
20050523	23	MEI	2005
20050524	24	MEI	2005
20050525	25	MEI	2005
20050526	26	MEI	2005
20050527	27	MEI	2005
20050528	28	MEI	2005
20050529	29	MEI	2005
20050530	30	MEI	2005
20050531	31	MEI	2005
20050601	1	JUNI	2005
20050602	2	JUNI	2005
20050603	3	JUNI	2005
20050604	4	JUNI	2005
20050605	5	JUNI	2005
20050606	6	JUNI	2005
20050607	7	JUNI	2005
20050608	8	JUNI	2005
20050609	9	JUNI	2005
20050610	10	JUNI	2005
20050611	11	JUNI	2005
20050612	12	JUNI	2005
20050613	13	JUNI	2005
20050614	14	JUNI	2005
20050615	15	JUNI	2005
20050616	16	JUNI	2005
20050617	17	JUNI	2005
20050618	18	JUNI	2005
20050619	19	JUNI	2005
20050620	20	JUNI	2005
20050621	21	JUNI	2005
20050622	22	JUNI	2005
20050623	23	JUNI	2005
20050624	24	JUNI	2005
20050625	25	JUNI	2005
20050626	26	JUNI	2005
20050627	27	JUNI	2005
20050628	28	JUNI	2005
20050629	29	JUNI	2005
20050630	30	JUNI	2005
20050701	1	JULI	2005
20050702	2	JULI	2005
20050703	3	JULI	2005
20050704	4	JULI	2005
20050705	5	JULI	2005
20050706	6	JULI	2005
20050707	7	JULI	2005
20050708	8	JULI	2005
20050709	9	JULI	2005
20050710	10	JULI	2005
20050711	11	JULI	2005
20050712	12	JULI	2005
20050713	13	JULI	2005
20050714	14	JULI	2005
20050715	15	JULI	2005
20050716	16	JULI	2005
20050717	17	JULI	2005
20050718	18	JULI	2005
20050719	19	JULI	2005
20050720	20	JULI	2005
20050721	21	JULI	2005
20050722	22	JULI	2005
20050723	23	JULI	2005
20050724	24	JULI	2005
20050725	25	JULI	2005
20050726	26	JULI	2005
