1	AMADEUS HOLY	PG	Action	19
2	AMERICAN CIRCUS	R	Action	21
3	ANTITRUST TOMATOES	NC-17	Action	29
4	ARK RIDGEMONT	NC-17	Action	38
5	BAREFOOT MANCHURIAN	G	Action	56
6	BERETS AGENT	PG-13	Action	67
7	BRIDE INTRIGUE	G	Action	97
8	BULL SHAWSHANK	NC-17	Action	105
9	CADDYSHACK JEDI	NC-17	Action	111
10	CAMPUS REMEMBER	R	Action	115
11	CASUALTIES ENCINO	G	Action	126
12	CELEBRITY HORN	PG-13	Action	130
13	CLUELESS BUCKET	R	Action	162
14	CROW GREASE	PG	Action	194
15	DANCES NONE	NC-17	Action	205
16	DARKO DORADO	NC-17	Action	210
17	DARN FORRESTER	G	Action	212
18	DEVIL DESIRE	R	Action	229
19	DRAGON SQUAD	NC-17	Action	250
20	DREAM PICKUP	PG	Action	252
21	DRIFTER COMMANDMENTS	PG-13	Action	253
22	EASY GLADIATOR	G	Action	271
23	ENTRAPMENT SATISFACTION	R	Action	287
24	EXCITEMENT EVE	G	Action	292
25	FANTASY TROOPERS	PG-13	Action	303
26	FIREHOUSE VIETNAM	G	Action	318
27	FOOL MOCKINGBIRD	PG	Action	327
28	FORREST SONS	R	Action	329
29	GLASS DYING	G	Action	360
30	GOSFORD DONNIE	G	Action	371
31	GRAIL FRANKENSTEIN	NC-17	Action	375
32	HANDICAP BOONDOCK	R	Action	395
33	HILLS NEIGHBORS	G	Action	417
34	KISSING DOLLS	R	Action	501
35	LAWRENCE LOVE	NC-17	Action	511
36	LORD ARIZONA	PG-13	Action	530
37	LUST LOCK	G	Action	542
38	MAGNOLIA FORRESTER	PG-13	Action	549
39	MIDNIGHT WESTWARD	G	Action	574
40	MINDS TRUMAN	PG-13	Action	579
41	MOCKINGBIRD HOLLYWOOD	PG	Action	586
42	MONTEZUMA COMMAND	NC-17	Action	594
43	PARK CITIZEN	PG-13	Action	659
44	PATRIOT ROMAN	PG	Action	664
45	PRIMARY GLASS	G	Action	697
46	QUEST MUSSOLINI	R	Action	707
47	REAR TRADING	NC-17	Action	717
48	RINGS HEARTBREAKERS	G	Action	732
49	RUGRATS SHAKESPEARE	PG-13	Action	748
50	SHRUNK DIVINE	R	Action	793
51	SIDE ARK	G	Action	794
52	SKY MIRACLE	PG	Action	802
53	SOUTH WAIT	R	Action	823
54	SPEAKEASY DATE	PG-13	Action	825
55	STAGECOACH ARMAGEDDON	R	Action	838
56	STORY SIDE	R	Action	850
57	SUSPECTS QUILLS	PG	Action	869
58	TRIP NEWTON	PG-13	Action	911
59	TRUMAN CRAZY	G	Action	915
60	UPRISING UPTOWN	NC-17	Action	927
61	WATERFRONT DELIVERANCE	G	Action	964
62	WEREWOLF LOLA	G	Action	968
63	WOMEN DORADO	R	Action	982
64	WORST BANGER	PG	Action	991
65	ALTER VICTORY	PG-13	Animation	18
66	ANACONDA CONFESSIONS	R	Animation	23
67	ARGONAUTS TOWN	PG-13	Animation	36
68	BIKINI BORROWERS	NC-17	Animation	70
69	BLACKOUT PRIVATE	PG	Animation	78
70	BORROWERS BEDAZZLED	G	Animation	89
71	CANYON STOCK	R	Animation	118
72	CAROL TEXAS	PG	Animation	121
73	CHAMPION FLATLINERS	PG	Animation	134
74	CLASH FREDDY	G	Animation	154
75	CLUB GRAFFITI	PG-13	Animation	160
76	CROSSROADS CASUALTIES	G	Animation	193
77	DARES PLUTO	PG-13	Animation	208
78	DESIRE ALIEN	NC-17	Animation	223
79	DOGMA FAMILY	G	Animation	239
80	DONNIE ALLEY	NC-17	Animation	241
81	DOORS PRESIDENT	NC-17	Animation	243
82	DOUBLE WRATH	R	Animation	245
83	DUCK RACER	NC-17	Animation	259
84	EARLY HOME	NC-17	Animation	268
85	FALCON VOLUME	PG-13	Animation	300
86	FIGHT JAWBREAKER	R	Animation	314
87	FLOATS GARDEN	PG-13	Animation	325
88	FLYING HOOK	NC-17	Animation	326
89	FORRESTER COMANCHEROS	NC-17	Animation	330
90	GANGS PRIDE	PG-13	Animation	349
91	GHOSTBUSTERS ELF	R	Animation	355
92	HARPER DYING	G	Animation	402
93	HOOK CHARIOTS	G	Animation	430
94	HORN WORKING	PG	Animation	433
95	INCH JET	NC-17	Animation	456
96	INSECTS STONE	NC-17	Animation	461
97	INTENTIONS EMPIRE	PG-13	Animation	464
98	ISHTAR ROCKETEER	R	Animation	470
99	JUGGLER HARDLY	PG-13	Animation	489
100	LAWLESS VISION	G	Animation	510
101	LUKE MUMMY	NC-17	Animation	541
102	MASSAGE IMAGE	PG	Animation	564
103	MENAGERIE RUSHMORE	G	Animation	569
104	MIRACLE VIRTUAL	PG-13	Animation	582
105	MISSION ZOOLANDER	PG-13	Animation	583
106	NASH CHOCOLAT	PG-13	Animation	615
107	OSCAR GOLD	PG	Animation	644
108	OZ LIAISONS	R	Animation	649
109	PACKER MADIGAN	PG-13	Animation	651
110	POND SEATTLE	PG-13	Animation	690
111	POTLUCK MIXED	G	Animation	692
112	POTTER CONNECTICUT	PG	Animation	693
113	PRIDE ALAMO	NC-17	Animation	696
114	PUNK DIVORCE	PG	Animation	703
115	ROOM ROMAN	PG	Animation	743
116	SLEEPLESS MONSOON	G	Animation	805
117	SNOWMAN ROLLERCOASTER	G	Animation	816
118	SONS INTERVIEW	NC-17	Animation	820
119	STORM HAPPINESS	NC-17	Animation	849
120	SUGAR WONKA	PG	Animation	859
121	SUNRISE LEAGUE	PG-13	Animation	865
242	TOMORROW HUSTLER	R	Classics	895
122	TELEMARK HEARTBREAKERS	PG-13	Animation	880
123	THEORY MERMAID	PG-13	Animation	886
124	THIEF PELICAN	PG-13	Animation	887
125	TITANIC BOONDOCK	R	Animation	892
126	TRACY CIDER	G	Animation	901
127	TURN STAR	G	Animation	916
128	WAIT CIDER	PG-13	Animation	953
129	WATCH TRACY	PG	Animation	963
130	WONKA SEA	NC-17	Animation	986
131	BACKLASH UNDEFEATED	PG-13	Children	48
132	BEAR GRACELAND	R	Children	59
133	BENEATH RUSH	NC-17	Children	66
134	BETRAYED REAR	NC-17	Children	68
135	CABIN FLASH	NC-17	Children	110
136	CASPER DRAGONFLY	PG-13	Children	124
137	CHRISTMAS MOONSHINE	NC-17	Children	149
138	CIRCUS YOUTH	PG-13	Children	152
139	CLOCKWORK PARADISE	PG-13	Children	157
140	COMANCHEROS ENEMY	R	Children	168
