1	0.99	20050708	306	35	1
2	3.99	20050802	306	518	2
3	3.99	20050821	306	260	1
4	1.99	20050530	306	239	2
5	0.99	20050617	306	232	2
6	0.99	20050707	306	265	2
7	1.99	20050730	306	333	1
8	1.99	20050823	306	9	1
9	0.99	20050731	306	62	1
10	0.99	20050822	306	270	1
11	0.99	20050802	306	433	1
12	0.99	20050821	306	506	2
13	0.99	20050527	306	322	1
14	1.99	20050621	306	392	1
15	0.99	20050707	306	440	2
16	0.99	20050727	306	536	2
17	3.99	20050821	306	223	1
18	0.99	20050615	306	388	2
19	0.99	20050710	306	592	1
20	1.99	20050729	306	447	2
21	0.99	20050822	306	46	1
22	0.99	20050731	306	364	2
23	0.99	20050818	306	287	1
24	4.99	20050801	639	210	2
25	4.99	20060214	639	509	1
26	4.99	20050707	639	471	1
27	9.99	20050728	639	529	2
28	9.99	20050822	639	498	1
29	8.99	20050802	639	136	1
30	8.99	20050817	639	82	1
31	2.99	20050727	307	205	2
32	2.99	20050822	307	457	2
33	2.99	20050802	307	323	2
34	2.99	20050823	307	573	2
35	2.99	20050531	307	385	2
36	2.99	20050615	307	432	1
37	2.99	20050706	307	372	2
38	4.99	20050801	307	298	2
39	2.99	20050817	307	162	2
40	2.99	20050706	307	303	2
41	2.99	20050727	307	211	2
42	2.99	20050818	307	57	2
43	2.99	20050712	640	363	2
44	2.99	20050730	640	215	1
45	6.99	20050822	640	10	1
46	3.99	20050531	640	330	1
47	2.99	20050617	640	83	1
48	2.99	20050710	640	117	2
49	4.99	20050727	640	143	1
50	2.99	20050817	640	101	2
51	3.99	20050729	640	425	2
52	2.99	20050822	640	39	2
53	2.99	20050706	640	257	1
54	5.99	20050731	640	240	1
55	6.99	20050822	640	580	2
56	3.99	20050527	640	412	2
57	2.99	20050616	640	12	1
58	4.99	20050708	640	491	1
59	2.99	20050818	640	426	2
60	5.99	20050711	640	486	2
61	2.99	20050730	640	417	1
62	2.99	20060214	640	580	2
63	4.99	20050708	640	376	1
64	2.99	20050728	640	259	2
65	2.99	20050820	640	79	2
66	3.99	20050528	436	430	2
67	3.99	20050616	436	292	2
68	4.99	20050712	436	599	2
69	2.99	20050802	436	521	2
70	3.99	20050819	436	224	2
71	4.99	20050618	436	74	1
72	5.99	20050709	436	25	2
73	2.99	20050728	436	204	1
74	4.99	20050819	436	449	2
75	4.99	20050709	436	542	1
76	4.99	20050731	436	458	1
77	2.99	20060214	436	28	2
78	5.99	20050526	505	282	1
79	3.99	20050621	505	77	1
80	7.99	20050708	505	248	2
81	2.99	20050729	505	17	2
82	3.99	20050818	505	52	2
83	8.99	20050620	505	443	2
84	5.99	20050706	505	289	1
85	6.99	20050801	505	551	2
86	3.99	20050817	505	87	2
87	2.99	20050729	505	496	1
88	8.99	20050820	505	187	1
89	4.99	20050710	505	332	2
90	7.99	20050801	505	485	2
91	6.99	20050818	505	32	1
92	8.99	20050526	505	324	1
93	6.99	20050619	505	596	2
94	4.99	20050706	505	5	2
95	4.99	20050728	505	547	2
96	4.99	20050818	505	576	2
97	7.99	20050802	505	522	1
98	4.99	20050821	505	348	1
99	4.99	20050802	248	334	1
100	7.99	20050822	248	465	2
101	7.99	20050620	248	397	2
102	5.99	20050708	248	341	1
103	4.99	20050801	248	137	2
104	5.99	20050822	248	313	1
105	4.99	20050712	248	288	1
106	4.99	20050727	248	128	1
107	4.99	20050819	248	363	1
108	4.99	20050621	248	139	2
109	4.99	20050711	248	130	2
110	4.99	20050727	248	301	2
111	4.99	20050821	248	280	1
112	4.99	20050731	248	190	2
113	4.99	20050818	248	49	2
114	5.99	20050525	641	293	2
115	4.99	20050618	641	311	1
116	4.99	20050708	641	215	2
117	7.99	20050801	641	314	2
118	5.99	20050821	641	569	2
119	4.99	20050711	641	595	2
120	5.99	20050728	641	69	1
121	4.99	20050823	641	545	2
122	4.99	20050529	641	407	2
123	5.99	20050616	641	33	1
124	4.99	20050706	641	343	1
125	4.99	20050731	641	29	1
126	5.99	20050818	641	357	1
127	4.99	20050531	641	247	1
128	6.99	20050619	641	146	1
129	5.99	20050706	641	167	2
130	4.99	20050729	641	274	1
131	6.99	20050817	641	417	2
132	8.99	20050710	642	544	1
133	2.99	20050731	642	150	2
134	5.99	20050823	642	561	1
135	2.99	20050706	642	512	1
136	8.99	20050729	642	249	2
137	2.99	20050823	642	576	2
138	4.99	20050728	642	285	1
139	5.99	20050823	642	131	1
140	4.99	20050730	642	490	2
141	7.99	20050817	642	72	2
142	5.99	20050727	642	386	2
143	8.99	20050817	642	296	1
144	4.99	20050617	870	15	1
145	4.99	20050712	870	594	2
146	4.99	20050727	870	338	2
147	4.99	20050819	870	200	1
148	4.99	20050801	870	134	2
149	6.99	20050819	870	427	1
150	4.99	20050801	870	225	1
151	4.99	20050821	870	366	1
